Nom de la commune;Code commune;Salaire_2022;Salaire_2023;Salaire_evol
Trappes;78621;2 768;2 849;0,029
Les Mureaux;78440;3 122;3 221;0,032
Houilles;78311;2 253;2 302;0,022
Le Port;974407;;;
Marignane;13054;3 404;3 431;0,008
Romans-sur-Isère;26281;2 446;2 526;0,033
Villiers-sur-Marne;94079;2 286;2 336;0,022
Montluçon;03185;2 099;2 200;0,048
Nevers;58194;2 112;2 210;0,046
Lens;62498;2 158;2 230;0,033
Thiais;94073;2 285;2 414;0,056
Saint-Médard-en-Jalles;33449;2 924;3 051;0,043
Agen;47001;2 188;2 285;0,044
Montigny-le-Bretonneux;78423;3 364;3 530;0,049
Nogent-sur-Marne;94052;2 567;2 666;0,039
Aix-les-Bains;73008;2 386;2 482;0,04
Épinal;88160;2 138;2 237;0,046
Saint-Laurent-du-Var;06123;2 447;2 533;0,035
Pontoise;95500;2 439;2 549;0,045
Bègles;33039;2 381;2 514;0,056
Plaisir;78490;2 855;2 989;0,047
Herblay-sur-Seine;95306;2 324;2 374;0,022
Vienne;38544;2 300;2 364;0,028
Carpentras;84031;2 178;2 244;0,03
Mont-de-Marsan;40192;2 149;2 256;0,05
Dreux;28134;2 156;2 231;0,035
Vigneux-sur-Seine;91657;2 336;2 348;0,005
Rillieux-la-Pape;69286;2 464;2 553;0,036
Goussainville;95280;2 206;2 323;0,053
Ris-Orangis;91521;2 245;2 308;0,028
L' Haÿ-les-Roses;94038;2 240;2 357;0,052
Saint-Martin;978801;;;
Savigny-le-Temple;77445;2 371;2 478;0,045
Cambrai;59122;2 043;2 134;0,045
Cachan;94016;2 698;2 783;0,032
Châtellerault;86066;2 368;2 472;0,044
Baie-Mahault;971103;;;
Viry-Châtillon;91687;2 566;2 663;0,038
Le Chesnay-Rocquencourt;78158;2 433;2 547;0,047
Menton;06083;2 056;2 113;0,028
Chatou;78146;3 113;3 257;0,046
Malakoff;92046;3 526;3 711;0,052
La Garenne-Colombes;92035;3 345;3 509;0,049
Tournefeuille;31557;2 303;2 385;0,036
Bourgoin-Jallieu;38053;2 338;2 425;0,037
Draveil;91201;2 196;2 301;0,048
Liévin;62510;2 169;2 256;0,04
Villiers-le-Bel;95680;1 862;1 994;0,071
Vandœuvre-lès-Nancy;54547;2 527;2 664;0,054
Agde;34003;1 968;2 039;0,036
Décines-Charpieu;69275;3 337;3 323;-0,004
Saint-Cloud;92064;3 976;4 017;0,01
Villemomble;93077;2 114;2 157;0,02
Guyancourt;78297;4 060;4 120;0,015
Orange;84087;2 201;2 265;0,029
Fresnes;94034;2 625;2 695;0,027
Saint-Étienne-du-Rouvray;76575;2 290;2 392;0,045
Ermont;95219;2 458;2 551;0,038
Clichy-sous-Bois;93014;1 859;1 915;0,03
Vallauris;06155;2 271;2 338;0,03
Périgueux;24322;2 127;2 224;0,046
Sotteville-lès-Rouen;76681;2 330;2 451;0,052
Bois-Colombes;92009;4 570;4 626;0,012
Le Plessis-Robinson;92060;4 095;4 234;0,034
Charenton-le-Pont;94018;3 734;3 755;0,006
